UID,LocationCode,Cluster
UID527360,TAA,Upper
UID701691,HEN1,Upper
UID502498,HEN2,Upper
UID411026,MAT,Upper
UID511126,RAN,Upper
UID509200,OPU1,Upper
UID509208,OPU2,Upper
UID509196,OPU3,Upper
UID507191,PON,Upper
UID515229,WKU,Lower
UID701881,NTT1,Lower
UID701851,NTT2,Lower
UID701861,NTT3,Lower
UID511879,KAW1,Lower
UID511881,KAW2,Lower
UID511882,KAW3,Lower
UID510977,NGA,Lower
UID511869,OLD,Lower
UID702691,QEP1,Lower
UID702681,QEP2,Lower
UID507354,INL,Lower
UID507351,OUT,Lower
UID701481,HOR,South
UID515496,RED,South
UID515493,RAK,South
